#,site,type,action,title,excerpt,content,date,author,slug,guid,status,order,parent,password,categories,tags,meta-url,subject,regex,replace-text,name,value,new-title,new-name
#,,,,,,,,,,,,,,,,,,,,,,,,
#,commented,rows,are,not,processed,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title, excerpt, content, date, author, slug, guid, status, menu-order, password, categories, tags, taxonomy-{name}, meta-{name}",,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,page,add,Test Page 1,Test Page 1 excerpt,Test Page 1 content,12/1/2014,user1,test-page-1,test-page-1,publish,1,,,Parent > Child,tag1,link-1,,,,,,,
,test-batch,page,add,Test Page 2,Test Page 2 excerpt,Test Page 2 content,12/2/2014,user2,,test-page-2,draft,2,Test Post 1,,Parent,tag2,link-2,,,,,,,
,test-batch,page,add,Test Page 3,Test Page 3 excerpt,Test Page 3 content,12/3/2014,user3,,test-page-3,pending,3,Test Post 2,pass,Child,tag3,link-3,,,,,,,
,test-batch,page,add,Test Page 4,Test Page 4 excerpt,Test Page 4 content,12/4/2014,user1,test-page-4,test-page-4,publish,4,Test Post 3,pass,Grandchild > Parent > Child,tag4,link-4,,,,,,,
,test-batch,page,add,Test Page 5,Test Page 5 excerpt,Test Page 5 content,12/5/2014,user2,,test-page-5,draft,5,Test Post 4,,Grandchild,tag5,link-5,,,,,,,
,test-batch,page,add,Test Page 6,Test Page 6 excerpt,Test Page 6 content,12/6/2014,user3,,test-page-6,pending,6,Test Post 5,,"Parent, Child",tag6,link-6,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title, excerpt, content, date, author, slug, status, menu-order, password, categories, tags, taxonomy-{name}, meta-{name}",,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,page,update,Test Page 1,TP1 excerpt,TP1 content,,user1,test-page-1a,,publish,,,,"Parent, Child",,,,,,,,,
,test-batch,page,update,Test Page 2,TP2 excerpt,,,user1,,,publish,,,,,tag2a,,,,,,,,
,test-batch,page,update,Test Page 3,,TP3 content,1/3/2015,user1,,,publish,,,,,,link-3a,,,,,,,
,test-batch,page,update,Test Page 4,TP4 excerpt,TP4 content,,user1,,,publish,,,,"Grandchild, Parent, Child",,,,,,,,,
,test-batch,page,update,Test Page 5,TP5 excerpt,,,user1,,,publish,,,,,tag5a,,,,,,,,
,test-batch,page,update,Test Page 6,,TP6 content,1/6/2015,user1,,,publish,,,,,,,,,,,,,
,test-batch,page,update,Test Page 7,Test Page 7 excerpt,Test Page 8 content,,,,,,7,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title, excerpt, content, date, author, slug, guid, status, menu-order, password, categories, tags, taxonomy-{name}, meta-{name}",,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,page,replace,Test Page 6,TP6 excerpt,TP6 content,,,,,draft,,,,,,,,,,,,,
,test-batch,page,replace,Test Page 7,Test Page 7 excerpt,Test Page 7 content,,,,,,7,,,,,,,,,,,,
