#,site,type,action,title,excerpt,content,post-type,date,author,slug,guid,status,password,categories,tags,meta-url,subject,regex,replace-text,name,value,new-title,new-name
#,,,,,,,,,,,,,,,,,,,,,,,
#,commented,rows,are,not,processed,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title, excerpt, content, date, author, slug, guid, status, menu-order, password, categories, tags, taxonomy-{name}, meta-{name}",,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,post,add,Test Post 1,Test Post 1 excerpt,Test Post 1 content,,12/1/2014,user1,test-post-1,test-post-1,publish,,Parent > Child,tag1,link-1,,,,,,,
,test-batch,post,add,Test Post 2,Test Post 2 excerpt,Test Post 2 content,,12/2/2014,user2,,test-post-2,draft,,Parent,tag2,link-2,,,,,,,
,test-batch,post,add,Test Post 3,Test Post 3 excerpt,Test Post 3 content,,12/3/2014,user3,,test-post-3,pending,pass,Child,tag3,link-3,,,,,,,
,test-batch,post,add,Test Post 4,Test Post 4 excerpt,Test Post 4 content,,12/4/2014,user1,test-post-4,test-post-4,publish,pass,Grandchild > Parent > Child,tag4,link-4,,,,,,,
,test-batch,post,add,Test Post 5,Test Post 5 excerpt,Test Post 5 content,,12/5/2014,user2,,test-post-5,draft,,Grandchild,tag5,link-5,,,,,,,
,test-batch,post,add,Test Post 6,Test Post 6 excerpt,Test Post 6 content,page,12/6/2014,user3,,test-post-6,pending,,"Parent, Child",tag6,link-6,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title, excerpt, content, date, author, slug, status, menu-order, password, categories, tags, taxonomy-{name}, meta-{name}",,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,post,update,Test Post 1,TP1 excerpt,TP1 content,,,user1,test-post-1a,,publish,,"Parent, Child",,,,,,,,,
,test-batch,post,update,Test Post 2,TP2 excerpt,,,,user1,,,publish,,,tag2a,,,,,,,,
,test-batch,post,update,Test Post 3,,TP3 content,,1/3/2015,user1,,,publish,,,,link-3a,,,,,,,
,test-batch,post,update,Test Post 4,TP4 excerpt,TP4 content,,,user1,,,publish,,"Grandchild, Parent, Child",,,,,,,,,
,test-batch,post,update,Test Post 5,TP5 excerpt,,,,user1,,,publish,,,tag5a,,,,,,,,
,test-batch,post,update,Test Post 6,,TP6 content,,1/6/2015,user1,,,publish,,,,,,,,,,,
,test-batch,post,update,Test Post 7,Test Post 7 excerpt,Test Post 8 content,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title, excerpt, content, date, author, slug, guid, status, menu-order, password, categories, tags, taxonomy-{name}, meta-{name}",,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,post,replace,Test Post 6,TP6 excerpt,TP6 content,,,,,,draft,,,,,,,,,,,
,test-batch,post,replace,Test Post 7,Test Post 7 excerpt,Test Post 7 content,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title, excerpt, content",,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,post,prepend,Test Post 1,This is ,,,,,,,,,,,,,,,,,,
,test-batch,post,prepend,Test Post 1,,This is ,,,,,,,,,,,,,,,,,
,test-batch,post,prepend,Test Post 1,** ,** ,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title, excerpt, content",,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,post,append,Test Post 1,.,,,,,,,,,,,,,,,,,,
,test-batch,post,append,Test Post 1,,.,,,,,,,,,,,,,,,,,
,test-batch,post,append,Test Post 1, **, **,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title",,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,post,delete,Test Post 7,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title, new-title",,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,post,rename,Test Post 1,,,,,,,,,,,,,,,,,,Test Post One,
,test-batch,post,rename,Test Post One,,,,,,,,,,,,,,,,,,Test Post 1,
#,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title, subject, regex, replace-text",,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,post,grep,Test Post 1,,,,,,,,,,,,,excerpt,TP,Test Post,,,,
,test-batch,post,grep,,,,,,,,,,,,,,excerpt,TP,Test Post,,,,
,test-batch,post,grep,Test Post 1,,,,,,,,,,,,,content,TP,Test Post,,,,
,test-batch,post,grep,,,,,,,,,,,,,,content,TP,Test Post,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title, categories, tags, taxonomy-{name}",,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,post,add-taxonomy,Test Post 1,,,,,,,,,,New Category,New Tag,,,,,,,,
,test-batch,post,add-taxonomy,Test Post 7,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title, categories, tags, taxonomy-{name}",,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,post,update-taxonomy,Test Post 1,,,,,,,,,,Only Category,Only Tag,,,,,,,,
,test-batch,post,update-taxonomy,Test Post 7,,,,,,,,,,"Parent, Child","tag1, tag1a",,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title, categories, tags, taxonomy-{name}",,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,post,delete-taxonomy,Test Post 1,,,,,,,,,,Child,tag1a,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title, name, value",,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,post,add-meta,Test Post 1,,,,,,,,,,,,,,,,new-key,new-value,,
#,,,,,,,,,,,,,,,,,,,,new-key-1,new-value,,
#,"site, type, action, title, name, value",,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,post,update-meta,Test Post 1,,,,,,,,,,,,,,,,new-key,new-value-a,,
#,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title, name",,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,post,delete-meta,Test Post 1,,,,,,,,,,,,,,,,new-key,,,
#,,,,,,,,,,,,,,,,,,,,,,,
#,"site, type, action, title, name",,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
,test-batch,post,copy-meta,Test Post 1,,,,,,,,,,,,,,,,new-key-1,,,new-key
